timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129454.8441,peak_good,-60.76,-148.813,139.147,-81.648,-96.597,21.387,75.522,11.478,61.462,84.99
1775129456.4096,peak_good,-59.603,-147.848,139.788,-85.761,-90.949,21.2,74.779,15.64,60.971,84.73
1775129458.0679,peak_good,-59.874,-148.181,139.539,-84.798,-100.978,22.673,73.691,11.949,59.985,85.99
1775129459.6343,peak_good,-60.057,-145.568,139.415,-85.451,-99.433,21.081,73.489,8.283,60.806,85.42
1775129461.2133,peak_good,-61.041,-147.516,139.611,-84.652,-97.386,20.9,73.346,4.773,60.98,84.21
1775129462.7906,peak_good,-61.663,-147.144,139.323,-82.581,-104.995,20.574,73.945,8.264,61.04,84.13
1775129470.9515,peak_good,-69.287,132.397,147.254,-62.608,-131.895,23.416,70.167,-3.615,62.702,83.87
1775129472.5198,peak_good,-64.018,-139.665,148.811,-81.19,-85.184,21.424,75.806,7.156,63.158,86.25
1775129474.0922,peak_good,-62.594,-140.541,149.268,-81.198,-83.509,21.081,76.697,2.162,62.612,87.0
1775129475.7456,peak_good,-61.721,-138.672,149.902,-82.277,-63.389,22.314,77.765,1.217,62.431,89.26
1775129477.3108,peak_good,-61.629,-139.718,151.728,-80.17,-71.669,22.718,76.22,-0.451,62.984,92.3
1775129478.8916,peak_good,-63.538,-139.699,143.924,-80.695,-87.73,20.163,75.631,0.0,62.026,93.15
1775129480.4604,peak_good,-61.747,-137.728,143.261,-82.538,-88.258,20.711,75.107,6.432,62.206,91.79
1775129482.1096,peak_good,-62.847,-139.013,142.961,-80.727,-84.079,22.519,74.059,3.202,61.373,87.6
1775129483.6753,peak_good,-63.236,-138.683,142.93,-81.878,-86.199,21.479,74.151,8.138,61.262,85.75
1775129485.2482,peak_good,-62.469,-140.745,141.959,-81.695,-89.129,21.093,74.989,7.271,61.249,86.33
1775129486.8157,peak_good,-61.514,-139.438,141.741,-82.558,-86.947,20.81,74.325,14.283,61.148,85.57
1775129488.4629,peak_good,-61.963,-141.669,141.25,-83.072,-81.787,21.384,74.897,15.767,60.608,85.56
1775129490.0344,peak_good,-61.863,-141.129,140.934,-82.073,-90.205,20.382,74.157,17.111,62.049,86.48
1775129491.6005,peak_good,-62.878,-141.625,140.131,-82.047,-92.432,20.536,74.468,15.922,62.385,88.48
